Entity,Code,Year,Coal Consumption - EJ,Oil Consumption - EJ,Gas Consumption - EJ
Norway,NOR,1988,11.501974531572264,107.59327996344399,19.026695221344003
Norway,NOR,1989,10.077333281860176,108.83687429165201,21.073576858848003
Norway,NOR,1990,9.437529254017365,104.7378834447553,22.317987854376
Norway,NOR,1991,8.399322975453005,96.91619919017123,25.144080115248002
Norway,NOR,1992,8.438353286677229,99.84348364250802,27.063031650408004
Norway,NOR,1993,9.125286764223572,105.489031054874,28.470262776192
Norway,NOR,1994,10.288390038705447,107.63441240428854,30.563664450912004
Norway,NOR,1995,11.23292357033167,106.41797117626382,30.854414683512
Norway,NOR,1996,11.170475072372911,113.95969266558565,33.49442679552
Norway,NOR,1997,11.084608387679616,115.51268016679076,38.681410945104005
Norway,NOR,1998,12.029141919305838,115.7352673808465,39.507141605688005
Norway,NOR,1999,11.271953881555893,114.74093787248799,37.73938019148
Norway,NOR,2000,11.54516606012546,106.3196689557288,42.368123894472006
Norway,NOR,2001,10.288390038705447,120.64135835167336,39.262911410304
Norway,NOR,2002,8.922329145857608,116.7923116667643,41.902923522312
Norway,NOR,2003,8.711565465246796,120.55927363503565,45.147696118127996
Norway,NOR,2004,9.83563842850445,117.99334655523867,47.741188192920006
Norway,NOR,2005,8.399322975453005,117.61487589929547,43.69924779654527
Norway,NOR,2006,7.204995451991751,120.29057811117329,43.0547893148039
Norway,NOR,2007,7.923153178517473,119.56434131384349,41.754888403884
Norway,NOR,2008,8.165141108107662,117.87455498747134,42.94930935942
Norway,NOR,2009,6.5000052,119.02114276970998,41.031112824864
Norway,NOR,2010,8.8611182,123.95444754932151,40.81413349725568
Norway,NOR,2011,9.833341200000001,120.47278055305208,40.1975085217061
Norway,NOR,2012,9.527785399999999,119.27098142977438,40.01823543623774
Norway,NOR,2013,9.027785000000002,121.48111452167554,39.741022861917855
Norway,NOR,2014,9.888896800000001,114.0308685686066,43.014463688693425
Norway,NOR,2015,8.862741630187633,116.13390205405484,45.09640255074319
Norway,NOR,2016,9.100238050184618,110.83206779277303,43.72416239877693
Norway,NOR,2017,9.513370870690608,109.77460997496414,45.84731647967384
Norway,NOR,2018,9.290539892425969,114.50547163727516,44.82828739000123
Norway,NOR,2019,9.348027288126238,107.32604746019152,44.938908837548304
Oman,OMN,1965,0,5.291943400218001,0
Oman,OMN,1966,0,5.520282471778001,0
Oman,OMN,1967,0,5.759786274492,0
Oman,OMN,1968,0,6.022887318306001,0
Oman,OMN,1969,0,6.273938352480001,0
Oman,OMN,1970,0,6.561519971434,0
Oman,OMN,1971,0,15.471515154980002,0
Oman,OMN,1972,0,17.67723080844,0
Oman,OMN,1973,0,15.375926189620001,0
Oman,OMN,1974,0,14.12789463564,0
Oman,OMN,1975,0,12.904707545980001,0
Oman,OMN,1976,0,14.856409107340001,0
Oman,OMN,1977,0,14.312180338624,0
Oman,OMN,1978,0,13.616962282450002,3.0254274203400002
Oman,OMN,1979,0,14.083738211426,5.0895040716
Oman,OMN,1980,0,10.59754875581,6.460842668670001
Oman,OMN,1981,0,10.412605830078,7.615406092320001
Oman,OMN,1982,0,15.550261884644001,8.33170666536
Oman,OMN,1983,0,12.001445990037999,10.34865827892
Oman,OMN,1984,0,19.487110311898,13.006510405200002
Oman,OMN,1985,0,17.011309720148002,16.55973824778
Oman,OMN,1986,0,12.100628291606002,19.358965487160003
Oman,OMN,1987,0,13.748320998648001,21.68694234954
Oman,OMN,1988,0,12.565499219058001,21.82360495887
Oman,OMN,1989,0,16.371600597270003,22.64829311862
Oman,OMN,1990,0,24.38728617648,24.47674458138
Oman,OMN,1991,0,40.052253708444006,24.816044852820003
Oman,OMN,1992,0,35.36577690371001,27.12517170012
Oman,OMN,1993,0,33.806185100482004,26.031870825480002
Oman,OMN,1994,0.00013929861137122412,29.583335611094004,27.25712180568
Oman,OMN,1995,0.00007569439385207942,32.555488822148,33.34414229121416
Oman,OMN,1996,0.00004837503867653248,31.351822581438,36.4317189136457
Oman,OMN,1997,0.000389006977683286,27.593483463658004,42.11882431095416
Oman,OMN,1998,0.0005585489465678387,27.727626904306,43.91900075109416
Oman,OMN,1999,0.00006673605335642527,35.449318914988,47.03223418008669
Oman,OMN,2000,0.0029031401544352383,37.844956387052,76.6790896028065
Oman,OMN,2001,0.0016395554775146244,42.207970988572,84.27623349571148
Oman,OMN,2002,0.0039049262887108655,49.360348599579524,88.28186179218154
Oman,OMN,2003,0,47.334063034220144,95.24602699325757
Oman,OMN,2004,0.009284617589850686,46.23681432894688,86.19667885628986
Oman,OMN,2005,0.0036509035856160882,51.53976199315189,107.78314919523706
Oman,OMN,2006,0.035779260772695165,53.672780318833794,120.35778794074861
Oman,OMN,2007,0.008164008027240696,51.76783633660623,121.7689419991115
Oman,OMN,2008,0.013950207320056123,70.15726655235723,133.6114008901227
Oman,OMN,2009,0.016285324187015317,66.96851596330657,137.17620420132945
Oman,OMN,2010,0.3446065540178477,76.53606171489122,162.99469985190976
Oman,OMN,2011,0.11837338997454484,80.79770276864218,181.1366316362358
Oman,OMN,2012,0.3591397056373097,87.65486895038073,196.87104793569546
Oman,OMN,2013,0.5224441683682197,101.05807137316575,216.75509372135875
Oman,OMN,2014,0.4157258732120908,103.9254767208357,212.57795864096227
Oman,OMN,2015,0.5721906429745703,104.52144327042106,229.70673406350576
Oman,OMN,2016,0.6405805493199407,107.0120161091936,228.40535540357624
Oman,OMN,2017,0.8834955050339082,138.67766778558604,233.44819324955103
Oman,OMN,2018,0.8663702253420037,162.26981970214416,249.75094134943274
Oman,OMN,2019,1.9117576230077193,168.53261682894896,250.09542695611682
Other Asia & Pacific,,1965,125.96385387727,34.29310834435362,2.328620612895
Other Asia & Pacific,,1966,134.969259783942,36.22958244607889,2.9841023872800005
Other Asia & Pacific,,1967,147.78122193247964,38.71287584074201,4.552038091627559
Other Asia & Pacific,,1968,161.59681399191197,40.98603224191012,5.3621320397022
Other Asia & Pacific,,1969,173.6203618194453,43.042213826260465,5.695713556567201
Other Asia & Pacific,,1970,187.82486164983774,45.10058618971064,5.95319226255
Other Asia & Pacific,,1971,211.2574796754152,46.34602677893676,6.254967503970001
Other Asia & Pacific,,1972,216.10733963805174,52.37278383239688,5.17404163923
Other Asia & Pacific,,1973,220.86237555299215,51.6918889438578,11.337977820375
Other Asia & Pacific,,1974,229.4585326238979,56.91891587887545,18.355783434615002
Other Asia & Pacific,,1975,240.52062247535383,56.04048353631236,16.162762930200003
Other Asia & Pacific,,1976,254.67482493808365,59.21654800428495,15.182512146000002
Other Asia & Pacific,,1977,272.1105993594259,61.17672439768204,16.835013468
Other Asia & Pacific,,1978,287.97958664071837,70.48362867066145,11.976259581
Other Asia & Pacific,,1979,306.262282348441,77.71367129754647,15.672762538200002
Other Asia & Pacific,,1980,325.4298487782541,87.45455025282784,18.168764535000005
Other Asia & Pacific,,1981,335.00122274499995,90.24113106665044,20.8970167176
Other Asia & Pacific,,1982,354.7095379912173,87.84567423155123,21.757767406200003
Other Asia & Pacific,,1983,369.3560179062279,89.56118204610553,24.7032697626
Other Asia & Pacific,,1984,381.2954611229415,84.94712617550437,25.6480205184
Other Asia & Pacific,,1985,399.58728394756594,95.65379068675882,28.193772555000002
Other Asia & Pacific,,1986,397.93975120015745,99.36630016534738,29.661273729
Other Asia & Pacific,,1987,381.698039829571,96.09611392256352,30.001024000800005
Other Asia & Pacific,,1988,387.3457852343581,96.40771345397852,27.27445931955
Other Asia & Pacific,,1989,382.5426191868894,95.81129779348886,24.23794439034
Other Asia & Pacific,,1990,362.43980791542,103.09747696375754,22.10111768088
Other Asia & Pacific,,1991,354.42007072784367,95.02831801686222,25.536770429399972
Other Asia & Pacific,,1992,308.08892183352367,89.2198003445632,31.773262918590003
Other Asia & Pacific,,1993,282.68628066438254,93.17234079748663,34.52107761684
Other Asia & Pacific,,1994,260.54636501243664,92.61332332512411,35.94280375422
Other Asia & Pacific,,1995,240.4196363618808,98.50817310817435,44.4505355604
Other Asia & Pacific,,1996,210.4152022665527,105.27797047773373,41.176570441230005
Other Asia & Pacific,,1997,206.3998354572232,107.38075337459314,45.29113623288
Other Asia & Pacific,,1998,189.1074983114179,113.28331041949446,39.74898627175108
Other Asia & Pacific,,1999,211.94404623811022,108.53120362624817,40.461091841435085
Other Asia & Pacific,,2000,228.98878057617574,115.6333752217684,37.08913948305785
Other Asia & Pacific,,2001,235.7429044396777,119.58332020106158,36.86508869374737
Other Asia & Pacific,,2002,224.9797146676433,125.30587542715405,37.54526944044347
Other Asia & Pacific,,2003,230.46680027480858,133.01576379169427,45.644324853377064
Other Asia & Pacific,,2004,231.41135104682883,132.81406239400462,47.81688166042584
Other Asia & Pacific,,2005,245.8955109188244,129.35787676311804,55.83076823445441
Other Asia & Pacific,,2006,252.321953657112,134.644227743038,57.02023771345119
Other Asia & Pacific,,2007,216.19715025550798,144.3759911306158,64.13378827707541
Other Asia & Pacific,,2008,237.92589668033648,141.4961688364837,63.465321923401355
Other Asia & Pacific,,2009,190.72609107170967,152.1806414811705,54.82119855320848
Other Asia & Pacific,,2010,187.23609715291596,176.64847720877071,67.98420195943889
Other Asia & Pacific,,2011,156.16413636745696,182.50870828669122,75.07106768677387
Other Asia & Pacific,,2012,161.84135205042446,189.93188546699824,85.30549178504329
Other Asia & Pacific,,2013,126.10569837442104,202.9457984960531,86.25451972288084
Other Asia & Pacific,,2014,141.7398871695635,220.49928607020445,101.07715498396709
Other Asia & Pacific,,2015,135.1755591633775,241.95536377866677,120.11977300104097
Other Asia & Pacific,,2016,167.335220414439,248.05832363283017,113.97382135041691
Other Asia & Pacific,,2017,170.7441998412515,256.87474598945266,114.11253889166365
Other Asia & Pacific,,2018,342.0972897017684,268.2763872806773,112.82139708010769
Other Asia & Pacific,,2019,346.2969659487678,285.81849911409137,102.73004305185509
Other CIS,,1985,59.74317544968463,174.6823599170117,78.03175305504834
Other CIS,,1986,63.95327837674233,165.95876265397976,76.2877873597319
Other CIS,,1987,64.26337398379667,163.9850584786599,83.11366104851564
Other CIS,,1988,54.60174018909443,164.1041884279321,109.44364452447255
Other CIS,,1989,51.67911885099923,156.04241559460374,121.21516820317783
Other CIS,,1990,51.274513204249416,164.27162259169157,112.14873454753366
Other CIS,,1991,45.81474656843655,122.11337334347553,92.92481535998672
Other CIS,,1992,26.664356797044345,97.23994628707702,84.10898494940858
Other CIS,,1993,22.257189273770702,59.795552669285534,60.584872664729915
Other CIS,,1994,21.540207802554818,27.975581470329775,51.93707551901439
Other CIS,,1995,10.686507740812882,26.698253781801828,50.97406114127851
